screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
thanasima_agna,2021-09-11T11:05:15Z,"Αληθεια δε καταλαβαινω ΓΙΑΤΙ να πρεπει να δικαιολουνται τα αδικαιολογητα. 
Ειτε για τον Ομηρο Ευστρατιαδη στο #MegaKalimera, ειτε σημερα στο #XamogelaKaiPali την Ελισαβετ Κωνσταντινιδου.....

ΔΕΝ ΥΠΑΡΧΕΙ ΔΙΚΑΙΟΛΟΓΙΑ ΓΙΑ ΤΕΤΟΙΕΣ ΥΠΟΘΕΣΕΙΣ. #Metoo #kalytera #Φιλιππιδης",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter Web App,el,1436647020513665026
h_xenitemeni,2021-09-11T10:53:07Z,"Ο βιασμός (ή οποιοδήποτε είδος βίας) δεν είναι αδυναμία. Μην ξεπλένετε τη βία είναι τουλάχιστον ασέβεια προς τα θύματα/επιζώντα άτομα! Σεβαστείτε τα επιτέλους! 
#MeToo",,,she/her +🌈| Κανένα άτομο δεν είναι μόνο του #MeToo • Όλα είμαστε μοναδικά 💜 • Ο λογαριασμός προωθεί το #awareness📚• {pfp. @ketnipz},Twitter for iPhone,el,1436643966158581760
lammar284,2021-09-11T10:53:03Z,"Όλοι έχουμε αδυναμίες...
Μία από τις δικές μου ξέρετε ποια είναι; Δεν αντέχω να μού σερβίρουν κακοποιητικες συμπεριφορές με.. essence νεραϊδόσκονης...
Αδυνατω να τις χωνέψω... #xamogelakaipali #MeToo #metooGR",,,,Twitter for Android,el,1436643950018826242
goktoki,2021-09-11T10:51:23Z,βγηκε να μας πει πως ο βιασμός είναι ένα μικρό πταίσμα... όλοι λέει δεν έχουμε κάνει κάτι που να ντρπόμαστε; Όχι μωρή ΦΩΚΙΑ δεν έχουμε κάνει όλοι βιασμό https://t.co/B28wLHD7hd #xamogelakaipali #Openweekend #MeToo,,,OLD ARTIFICIAL INTELLIGENCE 😎,Twitter Web App,el,1436643528642383876
arxibiftekasgk,2021-09-11T10:37:50Z,"#xamogelakaipali
Αδυναμία είναι το να πας στο ψυγείο στις 2:00 το βράδυ καί να φας βλακείες εν μέσω διατροφής/ Δίαιτας όχι ο βιασμός !! 
Αυτά που είπε η Ελισάβετ Κωνσταντινίδου στην εκπομπή είναι επικίνδυνα και ξεπλένουν τους βιαστές !!
#MeToo",,,"Μόνο James ,Νίκος ,Άμι
Πυρκαγιές 2021 μύθοι και αλήθειες
https://t.co/mI8O9H15Ea


Παναθηναϊκός ☘️
🐶🐕🐱🐈🦭🐭",Twitter Web App,el,1436640120120221698
titinaz2,2021-09-11T10:32:20Z,"Τελικά το mega channel επίσημο πλυντήριο
Εμετικό κ επίσημο

#xamogelakaipali #MeToo",,,ζω απο περιεργεια για το παρακατω,Twitter for Android,el,1436638735714689025
Trashisinthehe1,2021-09-11T10:30:48Z,"Όχι, κυρία Κωνσταντινίδου δεν είναι αδυναμία ο βιασμός και η σεξουαλική παρενόχληση. Αδυναμία είναι να φάω ένα κουτί σοκολατάκια, μόνη μου! #xamogelakaipali #metooGR #MeToo",,,"feminist af #metoo 
I love watching reality shows and soap operas
💎💅
*Can you guess what every woman's worst nightmare is?*",Twitter for Android,el,1436638349612261383
kartsitas,2021-09-11T10:22:44Z,"Όταν μια εκπομπή ξεχώρισε την περσινή σεζόν με το κίνημα #metoo και το έκανε σημαία, καλό θα ήταν όταν ακούγονται τέτοιες απόψεις στον αέρα να παίρνει θέση! #xamogelakaipali",,,"Journalist 
LOVE IT 💓
@skaitvgr",Twitter for Android,el,1436636320848388100
LonelyB49898226,2021-09-11T10:16:43Z,Ρε φίλε γιατί ξεπλένουν τόσο τον #Φιλιππίδης .Ένας σιχαμένος βιαστής ειναι και του αξίζει σαπίσει στη φυλακή.  #xamogelakaipali #MeToo #metoogr,,,#metoo,Twitter for Android,el,1436634806587117569
Trashisinthehe1,2021-09-11T10:09:12Z,"Κρίμα και την συμπαθούσα.
🤢🤢🤢
#metooGR #MeToo #xamogelakaipali https://t.co/VrYWMaYpBl",,,"feminist af #metoo 
I love watching reality shows and soap operas
💎💅
*Can you guess what every woman's worst nightmare is?*",Twitter for Android,el,1436632911114035200
TZEPI9s9jU98ncz,2021-09-11T09:58:21Z,"Τι κοινό εχουν η Βάνα Μπάρμπα και η Κωνσταντινίδου;τις εχει ξεπεράσει και τις δύο η εποχή,δεν καταλαβαίνουν απο #metoo και είναι και οι δύο για απόσυρση...#xamogelakaipali",,,Αντρας νεας κοπης..,Twitter for Android,el,1436630180869677059
thanasima_agna,2021-09-11T09:52:31Z,"Μπράβο, καλή πρεμιέρα είχε το #xamogelakaipali σήμερα. Συγχαρητήρια. Η Ελισαβετ υπερασπίστηκε τον #φιλιππιδης, διαχωρίζει όσα έκανε, ΕΙΧΕ ΛΟΓΟ ΝΑ ΠΑΡΕΝΟΧΛΕΙ, ΝΑ ΒΙΑΣΕΙ δλδ. Και ναι,εγω θα βλέπω #sympetheroiaptatirana επδ ΔΕΝ ΜΟΥ ΦΤΑΙΝΕ ΣΕ ΤΙΠΟΤΑ ΟΙ ΑΛΛΟΙ αλλα ΚΑΠΟΥ ΕΛΕΟΣ. #MeToo https://t.co/zN2Dk7Mxjh",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter for iPad,el,1436628713915957250
