published_at,body,summary,title,url
2021-09-11T10:09:12Z,"Κρίμα και την συμπαθούσα.
🤢🤢🤢
#metooGR #MeToo #xamogelakaipali https://t.co/VrYWMaYpBl",,,https://twitter.com/
2021-09-11T09:58:21Z,"Τι κοινό εχουν η Βάνα Μπάρμπα και η Κωνσταντινίδου;τις εχει ξεπεράσει και τις δύο η εποχή,δεν καταλαβαίνουν απο #metoo και είναι και οι δύο για απόσυρση...#xamogelakaipali",,,https://twitter.com/
2021-09-11T09:52:31Z,"Μπράβο, καλή πρεμιέρα είχε το #xamogelakaipali σήμερα. Συγχαρητήρια. Η Ελισαβετ υπερασπίστηκε τον #φιλιππιδης, διαχωρίζει όσα έκανε, ΕΙΧΕ ΛΟΓΟ ΝΑ ΠΑΡΕΝΟΧΛΕΙ, ΝΑ ΒΙΑΣΕΙ δλδ. Και ναι,εγω θα βλέπω #sympetheroiaptatirana επδ ΔΕΝ ΜΟΥ ΦΤΑΙΝΕ ΣΕ ΤΙΠΟΤΑ ΟΙ ΑΛΛΟΙ αλλα ΚΑΠΟΥ ΕΛΕΟΣ. #MeToo https://t.co/zN2Dk7Mxjh",,,https://twitter.com/
2021-09-11T09:52:27Z,Και δε μας λες από τωρα κα @SissyChristidou πόσους έχετε ακόμα να ξεπλύνετε για να ξέρουμε.. Αν είναι να γυρίσουμε από τώρα στην τσολακη... Μεγάλο κανάλι μεγάλες υποχρεώσεις φαίνεται.. Και εκεί που περισυ κάνατε αγώνα για το κίνημα #MeToo τώρα   κωλοτουμπα.. #xamogelakaipali,,,https://twitter.com/
2021-09-11T09:47:32Z,"Να το ξαναπούμε. Κατανοούμε πλήρως ότι πολλές φορές είναι δύσκολο να αποδεχθούμε ότι κάποιος φίλος ή γνωστός έκανε φρικτά πράγματα. Αυτό το ξέπλυμα όμως από την Κωνσταντιδου είναι κατάπτυστο. Πείτε κυρία μου στα θύματα τον λόγο που ""συνέβησαν""όλα  #xamogelakaipali #MeToo https://t.co/7J2t8yfEGM",,,https://twitter.com/
2021-09-11T09:45:15Z,"Σήμερα στις 17:00 στο Σιντριβάνι
#ΔΕΘ2021 
#MeToo 
#metooGR
#LGBTQ https://t.co/RE4e92ATv1",,,https://twitter.com/
2021-09-11T09:37:07Z,"Όσα ειπε η Ελισαβετ Κωνσταντινιδου ειναι ξεκάθαρα αυτό το 

Η ΓΛΩΣΣΑ ΚΟΚΚΑΛΑ ΔΕΝ ΕΧΕΙ ΚΑΙ ΚΟΚΚΑΛΑ ΤΣΑΚΙΖΕΙ. #ΦΙΛΙΠΠΙΔΗΣ  #xamogelakaipali #metoo #sympetheroiaptatirana",,,https://twitter.com/
2021-09-11T09:30:30Z,"#XamogelaKaiPali κύρια Ελισάβετ Κωσταντινιδη ρωτήσατε αν έχουμε κάνει πράγματα που ντρεπομαστε.πολλα.αλλα σε σημείο να βιασουμε ηθικά και σωματικά άλλον ανθρωπο όπως ο #φιλιππιδης που αιτιολογείτε ευθαρσως, ποτέ.
#MeToo",,,https://twitter.com/
2021-09-11T09:29:39Z,"Ας εξηγησει καποιος στη Ζουμπουλία, ότι άλλο να κανεις κατι που ντρεπεσαι και αλλο να κανεις Ποινικο Αδικημα! Αλλο να βιαζεις το σωμα και την ψυχη μια κοπελας! Αααα να χαθείτε ολοι που θελετε να σωσετε τη φαρα σας!! Στα μπουντρουμια σας! #xamogelakaipali #metoo #metooGR",,,https://twitter.com/
2021-09-11T09:28:57Z,Όταν ξεκίνησε το θέμα με το #metoo όλοι οι ηθοποιοί βροντοφώναζαν πως ήξεραν οι πάντες τι γινόταν για να μπορέσουν να κατηγορήσουν την Μενδωνη. Όταν τους έκραξε η κοινωνία επειδή έλεγαν ότι ήξεραν το γύρισαν πως δεν ήξερε κανείς τίποτα. #ΞΕΦΤΙΛΕΣ #xamogelakaipali,,,https://twitter.com/
